SRName,TownName,Latitude,Longitude
ရှမ်း (တောင်),မိုင်းနောင်,21.645,98.123
ရှမ်း (တောင်),လဲချား,21.27024,97.66509
ရှမ်း (တောင်),ဟိုမိန်း,19.769,97.979
ရှမ်း (တောင်),လင်းခေး,20.34222,98.00371
ရှမ်း (တောင်),အင်တော,21.63124,96.92252
ရှမ်း (တောင်),ရပ်စောက်,21.24664,96.86518
ရှမ်း (တောင်),လွိုင်လင်,20.92536,97.56581
ရှမ်း (တောင်),ပင်လုံ,20.991,97.532
ရှမ်း (တောင်),မောက်မယ်,20.2305,97.72369
ရှမ်း (တောင်),မိုင်းရှူး,21.90513,98.36044
ရှမ်း (တောင်),မိုင်းစံ (မုန်းဆန်း),21.65989,98.36456
ရှမ်း (တောင်),မိုင်းကိုင်,21.61149,97.52699
ရှမ်း (တောင်),ကျိုင်းတောင်း,20.75728,98.29333
ရှမ်း (တောင်),မိုးနဲ,20.5136,97.8712
ရှမ်း (တောင်),မိုင်းပန်,20.3188,98.3541
ရှမ်း (တောင်),ခိုလမ်,21.09887,98.10086
